date,gdd_F8655_day,gdd_F8655_cum_from_2021-05-13
2021-05-13,24.25,24.25
2021-05-14,25.663,49.91
2021-05-15,25.029,74.94
2021-05-16,21.712,96.65
2021-05-17,20.108,116.76
2021-05-18,23.008,139.77
2021-05-19,25.4,165.17
2021-05-20,26.017,191.19
2021-05-21,21.579,212.77
2021-05-22,13.633,226.4
2021-05-23,15.217,241.62
2021-05-24,18.008,259.62
2021-05-25,22.3,281.93
2021-05-26,24.708,306.63
2021-05-27,22.913,329.55
2021-05-28,25.192,354.74
2021-05-29,24.983,379.72
2021-05-30,23.921,403.64
2021-05-31,26.213,429.85
2021-06-01,27.208,457.06
2021-06-02,28.5,485.56
2021-06-03,28.15,513.71
2021-06-04,27.621,541.33
2021-06-05,27.454,568.79
2021-06-06,25.796,594.58
2021-06-07,24.925,619.51
2021-06-08,25.446,644.95
2021-06-09,25.971,670.92
2021-06-10,26.267,697.19
2021-06-11,25.388,722.58
2021-06-12,25.275,747.85
2021-06-13,27.338,775.19
2021-06-14,28.579,803.77
2021-06-15,30.679,834.45
2021-06-16,30.717,865.17
2021-06-17,30.854,896.02
2021-06-18,31.0,927.02
2021-06-19,30.842,957.86
2021-06-20,30.846,988.71
2021-06-21,30.796,1019.5
2021-06-22,30.775,1050.28
2021-06-23,28.779,1079.06
2021-06-24,27.5,1106.56
2021-06-25,30.238,1136.8
2021-06-26,29.967,1166.76
2021-06-27,29.833,1196.6
2021-06-28,30.888,1227.48
2021-06-29,30.55,1258.03
2021-06-30,29.783,1287.82
2021-07-01,29.533,1317.35
2021-07-02,30.946,1348.3
2021-07-03,29.829,1378.12
2021-07-04,28.513,1406.64
2021-07-05,30.767,1437.4
2021-07-06,30.854,1468.26
2021-07-07,30.563,1498.82
2021-07-08,31.0,1529.82
2021-07-09,30.829,1560.65
2021-07-10,29.0,1589.65
2021-07-11,28.492,1618.14
2021-07-12,30.908,1649.05
2021-07-13,30.325,1679.37
2021-07-14,28.971,1708.35
2021-07-15,29.258,1737.6
2021-07-16,29.05,1766.65
2021-07-17,28.892,1795.55
2021-07-18,30.071,1825.62
2021-07-19,30.492,1856.11
2021-07-20,30.596,1886.7
2021-07-21,30.879,1917.58
2021-07-22,28.779,1946.36
2021-07-23,20.617,1966.98
2021-07-24,20.475,1987.45
2021-07-25,22.204,2009.66
2021-07-26,26.533,2036.19
2021-07-27,28.675,2064.87
2021-07-28,28.913,2093.78
2021-07-29,30.592,2124.37
2021-07-30,29.575,2153.95
2021-07-31,27.867,2181.81
2021-08-01,29.958,2211.77
2021-08-02,30.363,2242.13
2021-08-03,30.95,2273.08
2021-08-04,30.579,2303.66
2021-08-05,30.858,2334.52
2021-08-06,30.871,2365.39
2021-08-07,29.888,2395.28
2021-08-08,30.883,2426.16
2021-08-09,27.933,2454.1
2021-08-10,26.471,2480.57
2021-08-11,26.804,2507.37
2021-08-12,28.004,2535.37
2021-08-13,28.988,2564.36
2021-08-14,25.621,2589.98
2021-08-15,29.104,2619.09
2021-08-16,29.208,2648.3
2021-08-17,24.95,2673.25
2021-08-18,26.458,2699.7
2021-08-19,26.783,2726.49
2021-08-20,27.588,2754.07
2021-08-21,27.946,2782.02
2021-08-22,27.858,2809.88
2021-08-23,27.075,2836.95
2021-08-24,26.988,2863.94
2021-08-25,28.333,2892.27
2021-08-26,29.171,2921.45
2021-08-27,28.983,2950.43
2021-08-28,30.117,2980.55
2021-08-29,30.05,3010.6
2021-08-30,30.488,3041.08
2021-08-31,24.592,3065.67
2021-09-01,24.992,3090.67
2021-09-02,26.142,3116.81
2021-09-03,26.967,3143.78
2021-09-04,28.229,3172.0
2021-09-05,28.754,3200.76
2021-09-06,28.808,3229.57
2021-09-07,30.325,3259.89
2021-09-08,29.892,3289.78
2021-09-09,29.167,3318.95
2021-09-10,29.104,3348.05
2021-09-11,29.858,3377.91
2021-09-12,27.904,3405.82
2021-09-13,28.588,3434.4
2021-09-14,29.446,3463.85
2021-09-15,29.363,3493.21
2021-09-16,26.671,3519.88
2021-09-17,28.217,3548.1
2021-09-18,26.721,3574.82
2021-09-19,25.867,3600.69
2021-09-20,24.462,3625.15
2021-09-21,23.587,3648.74
2021-09-22,23.929,3672.67
2021-09-23,26.525,3699.19
2021-09-24,22.329,3721.52
2021-09-25,24.679,3746.2
2021-09-26,17.029,3763.23
2021-09-27,21.4,3784.63
2021-09-28,23.246,3807.88
2021-09-29,21.858,3829.73
