date,both_dev,single,same,pos,kt,precip,sky,full,clean,weather_ok,eligible,excur,n,month,picked,single_valid,pos_valid,eligible_v
2021-06-29,True,True,True,X,0.9236221040516508,0.0,variable,False,False,False,False,15.306122448979592,294.0,6,False,True,X,False
2021-06-30,True,False,False,,0.9138576358668914,0.0,variable,True,False,False,False,12.758620689655173,290.0,6,False,False,,False
2021-07-01,True,True,True,Y,0.935237104662015,0.0,clear,True,True,True,True,1.1363636363636365,352.0,7,False,True,Y,True
2021-07-02,True,False,False,,0.698674070378212,0.0,variable,True,False,False,False,4.823151125401929,311.0,7,False,False,,False
2021-07-03,True,True,True,X,0.8364730866387182,0.0,variable,True,False,False,False,81.01983002832861,353.0,7,False,True,X,False
2021-07-04,True,True,True,X,0.8779907404034369,0.3,variable,True,False,False,False,1.69971671388102,353.0,7,False,True,X,False
2021-07-05,True,True,True,X,0.9480731444334258,0.0,variable,True,False,False,False,0.84985835694051,353.0,7,False,True,X,False
2021-07-06,True,True,True,X,0.9558425033932619,0.0,variable,True,False,False,False,0.2824858757062147,354.0,7,False,True,X,False
2021-07-07,True,False,False,,0.9552519376095209,0.0,clear,True,False,True,False,0.0,238.0,7,False,False,,False
2021-07-08,True,True,True,Y,0.9471209075247199,0.0,clear,True,True,True,True,10.985915492957748,355.0,7,False,True,Y,True
2021-07-09,True,False,False,,0.9449371878319117,16.3,clear,True,False,False,False,30.990415335463258,313.0,7,False,False,,False
2021-07-10,True,True,True,X,0.9654028951576921,7.6,variable,True,False,False,False,0.0,355.0,7,False,True,X,False
2021-07-11,True,True,True,X,0.9346330303968711,0.0,clear,True,False,True,False,0.0,356.0,7,False,True,X,False
2021-07-12,True,True,True,X,0.9007534903336311,0.0,variable,True,False,False,False,0.8426966292134831,356.0,7,False,True,X,False
2021-07-13,True,True,True,X,0.9018588476534275,0.0,variable,True,False,False,False,15.686274509803921,357.0,7,False,True,X,False
2021-07-14,True,True,True,X,0.7173869344358992,2.8,variable,True,False,False,False,3.0927835051546393,291.0,7,False,True,X,False
2021-07-15,True,False,False,,0.8351841896060476,23.900000000000002,variable,True,False,False,False,0.0,289.0,7,False,False,,False
2021-07-16,True,False,False,,0.489095887175197,1.6,overcast,True,True,False,False,0.5555555555555556,360.0,7,False,True,Y,False
2021-07-17,True,True,True,X,0.9507805141927602,0.0,variable,True,True,False,False,0.5555555555555556,360.0,7,False,True,X,False
2021-07-18,True,True,True,X,0.5496893622511052,0.0,overcast,True,True,False,False,7.202216066481995,361.0,7,False,True,X,False
2021-07-19,True,True,True,X,0.6570361793139738,0.0,variable,True,True,False,False,1.662049861495845,361.0,7,False,True,X,False
2021-07-20,True,True,True,X,0.8007393231824964,0.0,variable,True,True,False,False,0.0,362.0,7,False,True,X,False
2021-07-21,True,False,False,,0.7701696816019991,2.3,variable,True,True,False,False,0.9230769230769231,325.0,7,False,False,,False
2021-07-22,True,True,True,Y,0.9032401666659695,0.5,variable,True,True,False,False,1.6483516483516485,364.0,7,False,True,Y,False
2021-07-23,True,True,True,Y,0.11517927328113427,33.6,overcast,True,True,False,False,,,7,False,True,Y,False
2021-07-24,True,True,True,Y,0.18512536303345556,32.1,overcast,True,True,False,False,31.08108108108108,222.0,7,False,True,Y,False
2021-07-25,True,True,True,Y,0.6088592185999303,19.1,variable,True,True,False,False,0.821917808219178,365.0,7,False,True,Y,False
2021-07-26,True,False,False,,0.9391425398241361,0.0,clear,True,True,True,False,0.0,367.0,7,True,True,Y,True
2021-07-27,True,True,True,X,0.9418209899289044,0.0,clear,True,True,True,True,1.08991825613079,367.0,7,False,True,X,True
2021-07-28,True,False,False,,0.957844147142952,0.0,clear,True,True,True,False,,,7,False,False,,False
2021-07-29,False,False,False,,0.8032615024432577,0.0,variable,False,True,False,False,,,7,False,False,,False
2021-07-30,True,False,False,,0.946716960877097,0.0,clear,True,False,True,False,3.061224489795918,196.0,7,False,False,,False
2021-07-31,False,False,False,,0.9322747699550381,0.3,variable,False,True,False,False,,,7,False,False,,False
2021-08-01,False,False,False,,0.8852842239706146,0.0,variable,False,True,False,False,,,8,False,False,,False
2021-08-02,False,False,False,,0.9505325408293094,0.0,clear,False,True,True,False,,,8,False,False,,False
2021-08-03,True,True,True,X,0.9652392111056785,0.0,clear,True,True,True,True,0.8042895442359249,373.0,8,False,True,X,True
2021-08-04,True,False,False,,0.9779930590864528,0.0,clear,True,True,True,False,3.313253012048193,332.0,8,False,False,,False
2021-08-05,True,True,True,Y,0.9424241778575467,0.0,clear,True,True,True,True,1.6,375.0,8,False,True,Y,True
