datetime,temp_airF,sol_rad_total,gdd_raw,gdd_solar,gdd_raw_cum,gdd_solar_cum,gdd_field_cum
2026-06-01 01:00:00,72.7,0.000,0.73750,0.00000,0.74,0.00,-22.73
2026-06-01 02:00:00,69.3,0.000,0.59583,0.00000,1.33,0.00,-22.73
2026-06-01 03:00:00,69.8,0.000,0.61667,0.00000,1.95,0.00,-22.73
2026-06-01 04:00:00,69.1,0.000,0.58750,0.00000,2.54,0.00,-22.73
2026-06-01 05:00:00,69.3,0.000,0.59583,0.00000,3.13,0.00,-22.73
2026-06-01 06:00:00,68.2,0.090,0.55000,0.07750,3.68,0.08,-22.66
2026-06-01 07:00:00,70.7,0.600,0.65417,0.51669,4.34,0.59,-22.21
2026-06-01 08:00:00,78.6,1.320,0.98333,1.13672,5.32,1.73,-21.21
2026-06-01 09:00:00,84.6,2.040,1.23333,1.75674,6.55,3.49,-19.67
2026-06-01 10:00:00,89.2,2.690,1.29167,2.31649,7.85,5.80,-17.64
2026-06-01 11:00:00,90.9,3.180,1.29167,2.73845,9.14,8.54,-15.24
2026-06-01 12:00:00,94.1,3.500,1.29167,3.01402,10.43,11.56,-12.60
2026-06-01 13:00:00,96.4,3.600,1.29167,3.10013,11.72,14.66,-9.88
2026-06-01 14:00:00,98.6,3.460,1.29167,2.97957,13.01,17.64,-7.27
2026-06-01 15:00:00,100.2,3.180,1.29167,2.73845,14.30,20.37,-4.87
2026-06-01 16:00:00,100.0,2.680,1.29167,2.30788,15.60,22.68,-2.85
2026-06-01 17:00:00,100.9,2.000,1.29167,1.72230,16.89,24.40,-1.34
2026-06-01 18:00:00,100.4,1.240,1.29167,1.06782,18.18,25.47,-0.40
2026-06-01 19:00:00,99.9,0.460,1.29167,0.39613,19.47,25.87,-0.05
2026-06-01 20:00:00,95.4,0.070,1.29167,0.06028,20.76,25.93,0.00
2026-06-01 21:00:00,88.5,0.000,1.29167,0.00000,22.05,25.93,0.00
