week,date,plant_id,range,genotype,organ,rank,tiller,variable,value,flag,unit,days_after_planting,gdd_cumulative_F_8655
1,2026-07-09,74-1,74,B,internode,1.0,,collar_height_cumulative_cm,6.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,internode,1.0,,dia_sheath_mm,16.85,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,1.0,,dia_perp_mm,11.71,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,2.0,,collar_height_cumulative_cm,9.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,internode,2.0,,dia_sheath_mm,15.07,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,2.0,,dia_perp_mm,12.33,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,3.0,,collar_height_cumulative_cm,14.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,internode,3.0,,dia_sheath_mm,15.22,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,3.0,,dia_perp_mm,11.05,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,4.0,,collar_height_cumulative_cm,19.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,internode,4.0,,dia_sheath_mm,14.75,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,4.0,,dia_perp_mm,10.27,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,5.0,,collar_height_cumulative_cm,19.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,internode,5.0,,dia_sheath_mm,10.37,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,5.0,,dia_perp_mm,7.0,,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,6.0,,collar_height_cumulative_cm,24.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,internode,6.0,,dia_sheath_mm,6.0,tube_6mm_approx,mm,38,980.3
1,2026-07-09,74-1,74,B,internode,6.0,,dia_perp_mm,6.0,tube_6mm_approx,mm,38,980.3
1,2026-07-09,74-2,74,B,internode,1.0,,collar_height_cumulative_cm,6.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,internode,1.0,,dia_sheath_mm,19.86,,mm,38,980.3
1,2026-07-09,74-2,74,B,internode,1.0,,dia_perp_mm,15.45,,mm,38,980.3
1,2026-07-09,74-2,74,B,internode,2.0,,collar_height_cumulative_cm,8.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,internode,2.0,,dia_sheath_mm,19.34,,mm,38,980.3
1,2026-07-09,74-2,74,B,internode,2.0,,dia_perp_mm,13.8,,mm,38,980.3
1,2026-07-09,74-2,74,B,internode,3.0,,collar_height_cumulative_cm,12.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,internode,3.0,,dia_sheath_mm,16.59,,mm,38,980.3
1,2026-07-09,74-2,74,B,internode,3.0,,dia_perp_mm,12.98,,mm,38,980.3
